model,precision,format_name,native_resolution,native_imgsz,params,map_0.6x,map_0.8x,map_1x,map_1.2x,inf_0.6x,inf_0.8x,inf_1x,inf_1.2x,flops_0.6x,flops_0.8x,flops_1x,flops_1.2x
yolo11l,fp32,PyTorch,1x,640,25340992,0.4855809162780339,0.5206947075688038,0.5357516666597534,0.5385822444996183,9.153267824597423,8.91519402381382,8.981078174622597,9.012177182842061,31.290624,55.627776,86.9184,125.162496
yolo11m,fp32,PyTorch,1x,640,20091712,0.4656087318795057,0.5009815099629918,0.5171255980842043,0.5200613756996517,6.031216282710739,5.880050735888654,5.963916882931881,6.366350221094763,24.476314,43.513446,67.98976,97.905254
yolo11n,fp32,PyTorch,1x,640,2616248,0.3263552950506035,0.3705336054404193,0.3942527327909106,0.3987994986156046,4.809856307177324,4.807904047048214,4.811232630549785,4.903578659970663,2.334067,4.149453,6.48352,9.336269
yolo11s,fp32,PyTorch,1x,640,9443760,0.4102146657332597,0.4491955734414876,0.4703728402326124,0.4760159020212725,4.9483534898317885,4.960553224790056,4.965452313722562,5.024305556233594,7.729846,13.741949,21.471795,30.919385
yolo11x,fp32,PyTorch,1x,640,56919424,0.5065442667425301,0.536865310823979,0.5504278897632191,0.5532312302292225,9.3195646130557,9.24359657314053,11.207005717392894,13.51440255639871,70.169795,124.74630099999999,194.916096,280.679178
yolo26l,fp32,PyTorch,1x,640,24807420,0.4948463604256029,0.5271088517895983,0.5443773103854614,0.540399446268745,9.158548044610216,8.918450106746313,9.042143341517221,9.264181085799645,31.116681,55.318543999999996,86.435226,124.466725
yolo26m,fp32,PyTorch,1x,640,20411132,0.4736280807884644,0.5084088847502249,0.524810147885174,0.519158745134574,6.423380423257768,6.284029618711211,6.336983076823235,6.703402084154076,24.547738,43.640422,68.18816,98.19095
yolo26n,fp32,PyTorch,1x,640,2408932,0.3341704921304162,0.3751817182036913,0.40191164299124893,0.4086106025294087,5.7648415841785035,5.7665662319283,5.8183550121961165,5.902731938386569,1.929559,3.430326,5.359885,7.718234
yolo26s,fp32,PyTorch,1x,640,9496140,0.4186779338964016,0.45686409550475193,0.47804037993746495,0.47960229593254,5.863747517706069,5.925018007665931,5.961821669994388,6.03968032405799,7.449256,13.243122,20.692378,29.797024
yolo26x,fp32,PyTorch,1x,640,55725948,0.5230947802243691,0.5564356780379021,0.5696209993996867,0.5608497178643297,9.15926069215464,9.234517251885555,11.439347321607638,13.818049903653735,69.795828,124.081471,193.877299,279.183311
yolov5mu,fp32,PyTorch,1x,640,25091536,0.442426749783895,0.4752989543020079,0.4909407717754125,0.4913574615000716,5.233152310434089,5.168430639994622,5.379626820037665,5.778605149766372,23.115442,41.094119,64.209562,92.461769
yolov5nu,fp32,PyTorch,1x,640,2649200,0.2945243746217265,0.3308064361617748,0.3429525415112468,0.3418413280946848,4.048047360513301,4.103601084644906,4.104664327701321,4.1479760556182015,2.781407,4.944724,7.726131,11.125629
yolov5xu,fp32,PyTorch,1x,640,97229648,0.4905077433988533,0.5220980671502404,0.5357733444112789,0.5383957935116759,7.732054332740954,9.33960656732641,13.3235707864532,17.61913482561591,88.70365,157.695377,246.399027,354.814599
